Feature1;Feature2;Feature3;Feature4;Feature5;Feature6;Feature7;Clase Real;Clase Predicha;Resultado Inferencia;bool;bool_auto
5,1600;1,3400;5,1200;0,5300;-1,2900;0,9000;27,2400;Mov00;Mov00;0,9845;VERDADERO;True
5,3500;1,2700;4,9300;0,5100;-1,2500;0,9200;27,2600;Mov00;Mov00;1,0000;VERDADERO;True
5,7900;1,1100;4,3700;0,4700;-1,1600;0,9200;27,2500;Mov00;Mov00;1,0000;VERDADERO;True
5,9900;1,1300;3,9100;0,3700;-1,0200;0,8900;27,2500;Mov00;Mov00;0,8062;VERDADERO;True
6,2900;1,0600;3,8300;0,2100;-0,9600;0,8700;27,2500;Mov00;Mov00;0,8926;VERDADERO;True
6,5800;0,9600;4,0100;0,0600;-0,9200;0,8300;27,2700;Mov00;Mov00;0,8598;VERDADERO;True
6,6500;0,9600;4,1900;-0,0700;-0,8700;0,7800;27,2700;Mov00;Mov00;0,8398;VERDADERO;True
6,8300;0,7900;4,7000;-0,1400;-0,7900;0,7300;27,2700;Mov00;Mov00;0,7734;VERDADERO;True
7,0800;0,6900;5,0900;-0,1400;-0,7700;0,6900;27,2700;Mov00;Mov00;0,7734;VERDADERO;True
7,2900;0,5100;5,0800;-0,1100;-0,7300;0,6600;27,2600;Mov00;Mov00;0,7587;VERDADERO;True
7,3600;0,3300;5,1300;-0,0800;-0,6500;0,6200;27,2700;Mov00;Mov00;0,8799;VERDADERO;True
7,4700;0,3300;5,3300;-0,0400;-0,5900;0,5700;27,2800;Mov00;Mov00;0,8402;VERDADERO;True
7,6100;0,3600;5,4900;0,0100;-0,5900;0,5300;27,2900;Mov00;Mov00;0,8562;VERDADERO;True
7,7300;0,3500;5,5600;0,0400;-0,6400;0,5100;27,2700;Mov00;Mov00;0,7531;VERDADERO;True
7,9500;0,3200;5,4500;0,0500;-0,6700;0,4800;27,2800;Mov00;Mov00;0,8955;VERDADERO;True
8,0800;0,2600;5,4100;0,0300;-0,6600;0,4200;27,2700;Mov00;Mov00;0,8749;VERDADERO;True
7,9900;0,3600;5,3600;0,0300;-0,6500;0,3700;27,2800;Mov00;Mov00;0,7819;VERDADERO;True
7,8800;0,3300;5,1700;0,0300;-0,6500;0,3500;27,2700;Mov00;Mov00;0,7773;VERDADERO;True
8,0900;0,0400;5,1200;0,0700;-0,6400;0,3000;27,2500;Mov00;Mov00;0,7775;VERDADERO;True
8,3000;0,1100;5,0200;0,1800;-0,5700;0,2100;27,2600;Mov00;Mov00;0,7956;VERDADERO;True
8,0500;0,3500;4,9300;0,2700;-0,5000;0,1800;27,2700;Mov00;Mov00;0,8287;VERDADERO;True
8,1200;0,4600;4,6700;0,2900;-0,4800;0,1600;27,2800;Mov00;Mov00;0,8148;VERDADERO;True
8,2200;0,5600;4,5600;0,2400;-0,4000;0,1200;27,2700;Mov00;Mov00;0,7937;VERDADERO;True
8,1800;0,6400;4,6300;0,1600;-0,3400;0,0600;27,2800;Mov00;Mov00;0,8418;VERDADERO;True
8,1600;0,6900;4,8300;0,1000;-0,3000;0,0100;27,2700;Mov00;Mov00;0,7709;VERDADERO;True
8,0500;0,7000;5,0400;0,0600;-0,2800;-0,0300;27,2700;Mov00;Mov00;0,7938;VERDADERO;True
7,8100;0,7000;5,2800;0,0500;-0,3000;-0,0600;27,2700;Mov00;Mov00;0,8050;VERDADERO;True
7,6700;0,7000;5,3100;0,0800;-0,3400;-0,0700;27,2600;Mov00;Mov00;0,8184;VERDADERO;True
